file,material,family,family_ja,excitation_nm,grating_gr_per_mm,power_mW,exposure_s,averaging
2PACz_npg2_1.csv,2PACz,hole_transport,正孔輸送・注入材料,532.0,300.0,1.04,30.0,1.0
Acid Red 94_3_785_F_npg2_1.csv,Acid Red 94,molecular_dye,色素・低分子半導体,785.0,300.0,1.03,30.0,1.0
Alq3_3_F_npg2_1.csv,Alq3,electron_transport,電子輸送・中間層材料,532.0,300.0,0.52,30.0,1.0
BCP_S785_npg2_1.csv,BCP,electron_transport,電子輸送・中間層材料,785.0,300.0,2.23,5.0,1.0
Br-2PACz_npg2_1.csv,Br-2PACz,hole_transport,正孔輸送・注入材料,532.0,300.0,0.2,60.0,1.0
C8-BTBT_S785_npg2_1.csv,C8-BTBT,molecular_dye,色素・低分子半導体,785.0,300.0,2.02,5.0,1.0
ClMnTPP_3_F_npg2_1.csv,ClMnTPP,molecular_dye,色素・低分子半導体,532.0,300.0,2.0,60.0,1.0
CuPc_3_F_npg2_1.csv,CuPc,molecular_dye,色素・低分子半導体,532.0,300.0,1.02,30.0,1.0
CuSCN_S532_npg2_1.csv,CuSCN,hole_transport,正孔輸送・注入材料,532.0,300.0,0.99,1.0,5.0
D18_S785_npg2_1.csv,D18,donor_polymer,ドナー高分子,785.0,300.0,0.61,1.0,1.0
DPP-DTT_S532_1200_npg2_1.csv,DPP-DTT,donor_polymer,ドナー高分子,532.0,1200.0,1.05,0.5,10.0
F16CuPc_3_F_npg2_1.csv,F16CuPc,molecular_dye,色素・低分子半導体,532.0,300.0,5.08,30.0,1.0
H2Pc_Phthalocyanine_3_F_npg2_1.csv,H2Pc,molecular_dye,色素・低分子半導体,532.0,300.0,1.04,10.0,1.0
HATCN_S785_npg2_1.csv,HATCN,electron_transport,電子輸送・中間層材料,785.0,300.0,1.9,10.0,1.0
IEICO-4F_12_S532_npg2_1.csv,IEICO-4F,acceptor,アクセプター,532.0,1200.0,0.62,20.0,1.0
IEICO-4F_3_S532_npg2_1.csv,IEICO-4F,acceptor,アクセプター,532.0,300.0,1.03,1.0,1.0
ITIC_S532_npg2_1.csv,ITIC,acceptor,アクセプター,532.0,1200.0,3.97,5.0,5.0
MeO-2PACz_npg2_1.csv,MeO-2PACz,hole_transport,正孔輸送・注入材料,532.0,300.0,0.2,60.0,1.0
MethyleneBlue_3_F_npg2_1.csv,MethyleneBlue,molecular_dye,色素・低分子半導体,532.0,300.0,2.06,30.0,1.0
O-IDTBR_12_S532_npg2_1.csv,O-IDTBR,acceptor,アクセプター,532.0,1200.0,0.1,2.0,10.0
O-IDTBR_6_S532_npg2_1.csv,O-IDTBR,acceptor,アクセプター,532.0,600.0,0.1,1.0,10.0
PBDB-T_S785_npg2_1.csv,PBDB-T,donor_polymer,ドナー高分子,785.0,300.0,1.68,1.0,1.0
PBDTTPD_S785_npg2_1.csv,PBDTTPD,donor_polymer,ドナー高分子,785.0,300.0,0.53,0.5,5.0
PBDTTT-CF_S532_1200_npg2_1.csv,PBDTTT-CF,donor_polymer,ドナー高分子,532.0,1200.0,1.97,1.0,1.0
PCDTBT_F785_npg2_1.csv,PCDTBT,donor_polymer,ドナー高分子,785.0,300.0,1.8,1.0,10.0
PDINN_3_F_npg2_1.csv,PDINN,acceptor,アクセプター,532.0,300.0,2.0,10.0,1.0
PDINO_785_npg2_1.csv,PDINO,acceptor,アクセプター,785.0,300.0,0.18,120.0,1.0
PDINO_npg2_1.csv,PDINO,acceptor,アクセプター,532.0,1200.0,0.12,120.0,1.0
PDIN_npg2_1.csv,PDIN,acceptor,アクセプター,532.0,300.0,0.42,30.0,1.0
PEDOT_PSS_F532_npg2_1.csv,PEDOT_PSS,hole_transport,正孔輸送・注入材料,532.0,300.0,10.39,1.0,1.0
PFN-Br_S785_npg2_1.csv,PFN-Br,electron_transport,電子輸送・中間層材料,785.0,300.0,1.12,5.0,1.0
PM6(PBDB-T-2F)_S785_npg2_1.csv,PM6,donor_polymer,ドナー高分子,785.0,300.0,0.2,1.0,1.0
PTAA_S532_npg2_1.csv,PTAA,hole_transport,正孔輸送・注入材料,532.0,300.0,1.04,1.0,1.0
PTB7_S532_npg2_1.csv,PTB7,donor_polymer,ドナー高分子,532.0,1200.0,2.02,5.0,1.0
PTQ10_S785_npg2_1.csv,PTQ10,donor_polymer,ドナー高分子,785.0,300.0,0.1,1.0,1.0
PVK_S785_npg2_1.csv,PVK,electron_transport,電子輸送・中間層材料,785.0,600.0,4.02,5.0,5.0
Phen-NaDPO_L785_npg2_1.csv,Phen-NaDPO,electron_transport,電子輸送・中間層材料,785.0,300.0,10.32,1.0,10.0
Rubrene_S785_npg2_1.csv,Rubrene,molecular_dye,色素・低分子半導体,785.0,300.0,1.97,5.0,1.0
Si-PCPDTBT_S532_1200_npg2_1.csv,Si-PCPDTBT,donor_polymer,ドナー高分子,532.0,1200.0,0.06,5.0,1.0
Spiro-MeOTAD_S532_npg2_1.csv,Spiro-MeOTAD,hole_transport,正孔輸送・注入材料,532.0,300.0,0.99,1.0,1.0
Spiro-MeOTAD_S785_npg2_1.csv,Spiro-MeOTAD,hole_transport,正孔輸送・注入材料,785.0,300.0,5.04,1.0,10.0
TPFP_12_F_npg2_1.csv,TPFP,molecular_dye,色素・低分子半導体,532.0,1200.0,1.06,60.0,1.0
TPP_12_F_npg2_1.csv,TPP,molecular_dye,色素・低分子半導体,532.0,1200.0,1.01,60.0,1.0
TQ1_S532_1200_npg2_1.csv,TQ1,donor_polymer,ドナー高分子,532.0,1200.0,1.0,1.0,10.0
Y6_3_F_npg2_1.csv,Y6,acceptor,アクセプター,532.0,300.0,1.98,30.0,1.0
